song,artist,duration,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,valence,tempo,cluster
Good Life,Inner City,226240,0.739,0.786,0.242,0.0611,0.0459,-11.045,0.0527,0.938,121.308,2
Looking For The Perfect Beat,Afrika Bambaataa,229053,0.784,0.986,0.123,0.000166,0.184,-6.918,0.0794,0.642,121.025,2
Darkness on the Edge of Town,Bruce Springsteen,272426,0.369,0.515,0.0218,0.0,0.0556,-9.318,0.0396,0.446,171.334,4
Kowalski,Primal Scream,347133,0.355,0.952,0.0021,0.629,0.695,-6.078,0.209,0.331,180.714,1
Bucky Done Gun,M.I.A.,227146,0.886,0.764,0.0642,0.00284,0.0474,-6.84,0.129,0.509,128.032,2
Freak Like Me,Sugababes,195773,0.518,0.911,0.0764,1.78e-06,0.459,-3.448,0.0828,0.522,91.866,1
P.S.K. 'What Does It Mean'?,Schoolly D,387440,0.607,0.93,0.162,0.00214,0.386,-8.83,0.192,0.285,98.761,6
Passin' Me By,The Pharcyde,303493,0.759,0.756,0.0903,2.36e-06,0.265,-8.145,0.266,0.613,87.059,6
Hurdy Gurdy Man,Donovan,193466,0.405,0.463,0.00379,0.0442,0.392,-16.167,0.0542,0.542,79.451,0
San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,Scott McKenzie,178506,0.525,0.52,0.538,0.00569,0.111,-11.725,0.0271,0.523,112.554,0
Conceptual Romance,Jenny Hval,272195,0.279,0.474,0.608,0.673,0.132,-11.598,0.0427,0.205,83.174,3
Islands,The xx,160720,0.871,0.472,0.74,0.286,0.145,-11.077,0.0756,0.707,124.04,2
LDN,Lily Allen,190773,0.675,0.631,0.0147,4.39e-06,0.379,-7.56,0.0261,0.917,100.027,2
Drift Away - Single Version,Dobie Gray,230893,0.469,0.415,0.336,0.0,0.463,-9.509,0.0404,0.611,76.534,1
The Boy With the Arab Strap,Belle & Sebastian,314066,0.577,0.828,0.358,0.013,0.0683,-9.805,0.0556,0.706,142.365,2
Slippin' Into Darkness,War,419466,0.494,0.479,0.177,0.000915,0.094,-12.817,0.13,0.492,177.426,4
The Jean Genie - 2013 Remastered Version,David Bowie,247449,0.583,0.612,0.355,8.55e-06,0.444,-7.101,0.0311,0.774,128.252,1
When I Come Around,Green Day,178000,0.531,0.909,0.0175,0.0,0.231,-4.236,0.034,0.814,97.546,2
Waltz For Debby,Bill Evans,78066,0.496,0.188,0.995,0.897,0.0795,-15.722,0.043,0.209,114.917,0
French Navy,Camera Obscura,198893,0.434,0.853,0.0105,0.0,0.214,-4.05,0.0432,0.668,136.997,4
Can't Tell Me Nothing,Kanye West,271600,0.596,0.62,0.0122,0.0,0.82,-6.133,0.039,0.102,80.029,1
Knights of Cydonia,Muse,366213,0.366,0.963,0.000273,0.0122,0.115,-5.301,0.142,0.211,137.114,4
Tipitina,Professor Longhair,159813,0.692,0.336,0.824,0.00527,0.136,-16.0,0.0278,0.96,100.529,0
Brown Eyed Handsome Man,Chuck Berry,137106,0.515,0.902,0.919,6.25e-06,0.17,-7.085,0.202,0.873,180.07,6
I Can't Get Next To You - Single Version / Mono,The Temptations,171786,0.675,0.704,0.416,0.0,0.396,-11.238,0.125,0.658,109.385,1
How to Disappear Completely,Radiohead,356333,0.168,0.302,0.315,0.79,0.11,-11.645,0.0344,0.205,102.041,3
50 Ways to Leave Your Lover,Paul Simon,217346,0.815,0.372,0.166,0.000116,0.0767,-12.814,0.0752,0.293,101.684,0
Irreplaceable,Beyoncé,227853,0.447,0.694,0.0293,5.46e-06,0.167,-4.637,0.382,0.509,175.868,6
Orinoco Flow - 2009 Remaster,Enya,266200,0.692,0.466,0.743,0.109,0.1,-10.741,0.0292,0.561,114.999,0
Noid,Yves Tumor,209094,0.397,0.833,1.28e-06,0.824,0.0992,-5.871,0.0472,0.669,192.067,3
Five Seconds,Twin Shadow,260013,0.468,0.88,0.0019,0.00704,0.409,-5.086,0.057,0.648,176.972,4
Silver Machine - Live at the Roundhouse London; 1996 Remaster,Hawkwind,279973,0.31,0.874,0.000416,0.712,0.0695,-11.889,0.152,0.096,131.717,3
Chateau Lobby #4 (in C for Two Virgins),Father John Misty,170826,0.451,0.808,0.22,0.0,0.224,-5.231,0.0405,0.805,188.037,4
Here Comes the Rain Again - Remastered Version,Eurythmics,294586,0.648,0.755,0.0139,0.000253,0.225,-7.901,0.03,0.607,126.341,2
I'm Movin' On,Hank Snow,170293,0.574,0.515,0.786,0.00149,0.106,-13.121,0.0309,0.921,97.772,0
Jockey Full Of Bourbon,Tom Waits,166040,0.675,0.501,0.912,0.807,0.277,-16.45,0.0608,0.964,82.756,3
The Rising,Bruce Springsteen,287040,0.499,0.761,0.0655,0.0,0.0895,-6.381,0.0324,0.326,110.186,4
Kid,Pretenders,185320,0.433,0.732,0.0115,0.000178,0.11,-8.352,0.029,0.691,138.129,4
Star Dust,Artie Shaw,212774,0.332,0.234,0.984,0.842,0.487,-14.602,0.0338,0.543,85.204,0
NYC,Interpol,259560,0.2,0.737,0.012,0.0599,0.108,-5.039,0.0316,0.283,74.943,4
One,Harry Nilsson,140920,0.422,0.147,0.894,0.000364,0.169,-16.591,0.0428,0.219,123.236,0
Blue Moon Of Kentucky,Elvis Presley,126293,0.667,0.699,0.913,0.113,0.0946,-6.19,0.0353,0.924,111.926,2
Barracuda,Heart,262853,0.51,0.926,0.00368,0.0365,0.137,-4.073,0.0613,0.6,137.374,4
Hallelujah - Remastered Version,Happy Mondays,156319,0.503,0.869,1.05e-05,0.0059,0.134,-8.602,0.0456,0.679,97.978,2
Some Candy Talking,The Jesus and Mary Chain,198200,0.554,0.798,0.0844,0.000331,0.0753,-5.032,0.03,0.595,113.335,4
"Lloyd, I'm Ready To Be Heartbroken",Camera Obscura,231160,0.329,0.857,0.00878,0.0725,0.156,-3.681,0.0496,0.476,143.482,4
Crash,The Primitives,151693,0.375,0.6,0.0966,0.000972,0.759,-9.313,0.033,0.916,169.976,1
Somebody To Love - Remastered 2011,Queen,296480,0.461,0.69,0.169,1.01e-06,0.113,-6.958,0.0611,0.353,110.915,4
Celebration,Kool & The Gang,299466,0.878,0.51,0.136,0.0156,0.049,-13.781,0.0565,0.911,120.771,2
Somethin' Else,Eddie Cochran,125906,0.625,0.791,0.198,0.000144,0.0645,-10.428,0.0711,0.967,157.413,2
Shotgun,Jr. Walker & The All Stars,185600,0.715,0.51,0.0117,0.00439,0.278,-7.726,0.0337,0.64,120.308,2
I'm Walkin',Fats Domino,127973,0.65,0.733,0.642,0.00074,0.0335,-10.158,0.116,0.979,111.123,2
Love On Top,Beyoncé,267413,0.652,0.749,0.0848,0.0,0.604,-5.248,0.0886,0.651,94.103,1
Boogie Wonderland,"Earth, Wind & Fire",288933,0.803,0.759,0.0829,0.013,0.0293,-10.776,0.0355,0.963,131.721,2
Is This Love,Bob Marley & The Wailers,232200,0.775,0.553,0.106,0.0,0.0518,-8.371,0.102,0.753,122.232,2
Dog Days Are Over,Florence + The Machine,251840,0.492,0.81,0.0416,0.00379,0.117,-5.315,0.0847,0.245,149.954,4
One Step Beyond,Madness,138373,0.474,0.921,0.0484,0.0357,0.156,-4.384,0.0609,0.942,154.851,4
(I Can't Get Me No) Satisfaction,DEVO,160693,0.884,0.634,0.134,0.0336,0.107,-12.248,0.142,0.966,102.111,2
Tom Dooley - Remastered,The Kingston Trio,185026,0.632,0.137,0.866,2.92e-06,0.0825,-15.351,0.0446,0.516,125.95,0
Cry to Me,Solomon Burke,154906,0.733,0.624,0.623,0.0,0.407,-9.849,0.0374,0.912,114.586,2
'Round Midnight (feat. John Coltrane),Miles Davis,355333,0.494,0.182,0.79,0.00036,0.129,-11.116,0.0443,0.21,112.689,0
Glad All Over - 2019 - Remaster,The Dave Clark Five,163327,0.462,0.803,0.152,0.0,0.0788,-8.357,0.0585,0.896,137.789,2
Bandages,Hot Hot Heat,212333,0.376,0.946,0.00756,0.0,0.107,-3.778,0.0897,0.858,150.199,4
Do It Again,Röyksopp,306323,0.616,0.671,0.00193,0.00402,0.0771,-5.37,0.054,0.783,123.939,2
Pride and Joy,Stevie Ray Vaughan,219586,0.427,0.626,0.0274,0.00395,0.106,-11.821,0.0385,0.743,126.877,4
sad day,FKA twigs,255720,0.434,0.469,0.809,0.000215,0.0856,-10.685,0.165,0.143,136.745,0
Can I Kick It?,A Tribe Called Quest,252066,0.867,0.554,0.161,0.0103,0.111,-13.634,0.249,0.766,96.668,6
Watermelon Man,Herbie Hancock,428440,0.606,0.555,0.893,0.663,0.0783,-9.219,0.0283,0.599,129.419,3
Ashes to Ashes,Jenny Hval,255191,0.594,0.852,0.461,0.0298,0.0876,-7.515,0.0431,0.249,107.962,4
The Pill,Loretta Lynn,155893,0.7,0.335,0.556,0.0,0.104,-11.351,0.0323,0.777,78.038,0
Long Train Runnin',The Doobie Brothers,207266,0.575,0.912,0.0916,0.00211,0.0562,-7.275,0.0393,0.843,117.399,2
Pleasant Valley Sunday - 2007 Remaster,The Monkees,194466,0.421,0.727,0.203,0.0,0.235,-6.384,0.0344,0.541,89.973,4
"Independent Women, Pt. 1 - #1's Edit",Destiny's Child,216266,0.672,0.593,0.348,3.36e-06,0.114,-3.957,0.216,0.928,97.887,6
Play With Fire - Mono Version / Remastered 2002,The Rolling Stones,133893,0.553,0.425,0.233,1.62e-05,0.188,-9.859,0.0269,0.135,108.942,0
Hand in Glove - 2011 Remaster,The Smiths,202586,0.445,0.89,8.97e-05,0.000176,0.284,-7.242,0.0354,0.915,141.802,4
Mystery Train,Junior Parker,144746,0.472,0.365,0.927,0.00573,0.108,-10.217,0.031,0.571,96.787,0
Black Is Black,Los Bravos,176600,0.575,0.843,0.239,5.16e-06,0.0764,-5.931,0.0584,0.858,128.169,2
"Shame, Shame, Shame - Vocal Version",Shirley & Company,245786,0.734,0.744,0.254,0.0333,0.15,-8.085,0.159,0.77,101.609,2
In the Summertime,Mungo Jerry,211880,0.754,0.449,0.724,0.0,0.162,-14.013,0.0615,0.973,82.751,2
Everybody Knows,Leonard Cohen,333333,0.778,0.378,0.49,0.0,0.0879,-17.586,0.0288,0.723,104.246,0
Groovejet,Spiller,450455,0.794,0.595,0.000496,0.121,0.353,-9.125,0.0715,0.681,123.008,2
La ritournelle,Sébastien Tellier,454480,0.558,0.723,0.00405,0.501,0.0863,-11.214,0.0312,0.526,102.833,3
Tiger Rag,Original Dixieland Jazz Band,192000,0.508,0.424,0.993,0.903,0.326,-10.433,0.0413,0.847,124.141,3
The Little Old Log Cabin In The Lane,Fiddlin John Carson,167367,0.502,0.0996,0.994,0.0,0.327,-16.259,0.0499,0.778,98.782,0
Flawless Remix (feat. Nicki Minaj),Beyoncé,234413,0.639,0.659,0.241,8.33e-06,0.484,-7.273,0.215,0.457,136.801,1
Only Love Can Break Your Heart,Neil Young,188600,0.732,0.239,0.681,1.16e-06,0.0972,-12.203,0.037,0.377,110.58,0
Sweet Love,Anita Baker,266200,0.504,0.728,0.36,0.0,0.159,-5.699,0.0234,0.683,89.255,2
"My My, Hey Hey (Out Of The Blue)",Neil Young,227840,0.506,0.404,0.871,0.000571,0.328,-13.308,0.0295,0.409,126.973,0
She Thinks I Still Care,George Jones,154480,0.547,0.362,0.706,0.0,0.101,-9.767,0.0291,0.609,115.034,0
Neighborhood #3 (Power Out),Arcade Fire,312906,0.531,0.956,0.000575,0.0173,0.0891,-5.036,0.0487,0.59,119.878,4
If I Were Your Woman - Single Version,Gladys Knight & The Pips,194480,0.467,0.595,0.692,0.0538,0.573,-6.489,0.0561,0.574,73.619,1
Farther Up The Road - Single Version,"Bobby ""Blue"" Bland",177373,0.511,0.508,0.535,0.0,0.181,-5.532,0.0334,0.781,105.408,2
On My Radio,The Selecter,208573,0.687,0.809,0.0335,0.0,0.347,-5.911,0.0444,0.717,141.811,2
Big Boss Man,Jimmy Reed,166746,0.755,0.246,0.593,0.000914,0.0769,-17.337,0.0324,0.919,78.475,0
Kill V. Maim,Grimes,246006,0.578,0.947,0.00744,0.0816,0.105,-2.431,0.036,0.456,134.034,4
Aftermath,Tricky,458760,0.732,0.444,0.0393,0.183,0.155,-14.193,0.0655,0.485,80.835,2
Baby Please Don't Go,Big Joe Williams,167066,0.608,0.335,0.882,0.00321,0.0432,-6.589,0.243,0.791,161.895,6
Back In The U.S.S.R. - Remastered,The Beatles,163453,0.48,0.969,0.069,0.00022,0.0608,-7.464,0.0854,0.494,142.489,4
Midnight Rider,Allman Brothers Band,179933,0.38,0.324,0.548,0.0242,0.0872,-18.281,0.0328,0.577,189.268,0
Movies,Weyes Blood,353732,0.189,0.362,0.649,0.39,0.106,-8.915,0.0331,0.0979,111.783,0
Lucky,Radiohead,259640,0.199,0.419,0.0472,0.575,0.114,-9.365,0.0324,0.216,133.397,3
Afterlife,Arcade Fire,352754,0.638,0.873,0.0943,0.0395,0.226,-5.545,0.0363,0.682,115.95,2
No Cars Go,Arcade Fire,343626,0.305,0.773,0.000664,0.251,0.121,-6.922,0.0369,0.275,135.744,4
Dear Mama,2Pac,280000,0.773,0.54,0.371,0.0,0.131,-7.123,0.103,0.322,84.115,2
Africa,TOTO,295893,0.671,0.373,0.257,8.01e-05,0.0481,-18.064,0.0323,0.732,92.718,0
"Hello, Goodbye - Remastered",The Beatles,208840,0.479,0.733,0.306,2.4e-05,0.414,-8.753,0.0256,0.806,99.307,1
Gimme All Your Lovin',ZZ Top,241080,0.63,0.788,0.00322,0.0237,0.0883,-6.7,0.0298,0.63,120.059,2
Groovin' High,Dizzy Gillespie,163906,0.691,0.187,0.986,0.935,0.162,-13.79,0.0507,0.692,95.035,3
"Nag, Nag, Nag",Cabaret Voltaire,277893,0.353,0.808,0.129,0.877,0.294,-11.162,0.106,0.334,167.064,3
Wrote for Luck - Remastered Version,Happy Mondays,364399,0.544,0.953,2.34e-06,0.462,0.0803,-8.829,0.0536,0.844,102.007,3
Love Action (I Believe In Love),The Human League,301826,0.702,0.588,0.0805,0.0193,0.184,-9.739,0.0321,0.728,121.738,2
Higher Ground,TNGHT,199343,0.711,0.761,0.598,0.127,0.134,-7.267,0.233,0.526,160.738,6
Building Steam With A Grain Of Salt,DJ Shadow,399026,0.614,0.833,0.442,0.934,0.0923,-9.209,0.0297,0.469,164.717,3
I Keep A Close Watch,John Cale,208333,0.554,0.426,0.0699,0.00015,0.238,-12.598,0.0255,0.213,108.935,0
Constant Craving,k.d. lang,277240,0.6,0.77,0.0603,4.79e-06,0.0967,-5.559,0.0302,0.321,128.473,4
California,EMA,275266,0.178,0.461,0.326,0.549,0.0993,-7.295,0.0318,0.206,86.103,3
N.Y. State of Mind,Nas,293973,0.665,0.91,0.0394,0.0,0.227,-4.682,0.223,0.887,84.099,6
Erotica,Madonna,270173,0.63,0.821,0.000632,0.479,0.0963,-6.726,0.0467,0.271,102.022,3
Evil (Is Going On),Howlin' Wolf,174666,0.516,0.505,0.55,0.000223,0.0993,-8.314,0.15,0.607,157.871,4
"Kick, Push",Lupe Fiasco,254466,0.652,0.809,0.164,0.0,0.175,-5.276,0.17,0.512,94.786,6
"Hey, Good Lookin' - Single Version",Hank Williams,174160,0.783,0.263,0.884,0.0,0.144,-12.552,0.0401,0.849,141.057,0
We Got The Beat - 2011 Remaster,The Go-Go's,151106,0.595,0.996,0.195,0.0345,0.0351,-3.418,0.0599,0.376,152.049,4
Walking To New Orleans,Fats Domino,118400,0.579,0.255,0.612,0.0,0.146,-14.323,0.0423,0.683,80.032,0
Some Might Say,Oasis,328533,0.243,0.953,0.0504,0.0429,0.154,-2.295,0.0843,0.15,110.254,4
Imitation Of Life,R.E.M.,237000,0.465,0.757,0.015,1.64e-06,0.176,-4.035,0.0327,0.49,124.227,4
"Good Morning, Captain",Slint,459333,0.442,0.502,0.0565,0.575,0.107,-18.18,0.0354,0.167,188.421,3
Hey Bulldog - Remastered,The Beatles,191306,0.587,0.617,0.0197,0.639,0.199,-9.164,0.028,0.947,100.495,3
It Ain't Me Babe,Bob Dylan,214440,0.572,0.302,0.743,0.0,0.125,-8.573,0.0286,0.389,105.54,0
Roll 'Em Pete,Big Joe Turner,175200,0.601,0.414,0.976,0.0,0.0664,-11.204,0.0412,0.716,95.289,0
I Left My Heart in San Francisco - Single Version,Tony Bennett,172666,0.324,0.156,0.906,0.0,0.0871,-10.278,0.0314,0.132,109.656,0
Night Train,Jimmy Forrest,184040,0.723,0.565,0.469,0.709,0.11,-7.932,0.0573,0.623,117.919,3
Darts Of Pleasure,Franz Ferdinand,179666,0.397,0.725,0.00104,1.15e-06,0.615,-7.638,0.0411,0.801,145.005,1
Maneater,Nelly Furtado,258893,0.796,0.777,0.0261,0.000358,0.121,-4.81,0.0397,0.787,132.722,2
The Final Countdown,Europe,310333,0.529,0.843,0.0628,0.000827,0.0608,-6.908,0.0616,0.188,117.662,4
Once Around the Block,Badly Drawn Boy,224573,0.39,0.708,0.69,0.0124,0.123,-8.388,0.0503,0.846,123.511,2
Mirrors,Justin Timberlake,484146,0.574,0.512,0.234,0.0,0.0946,-6.664,0.0503,0.512,76.899,2
Mother-In-Law,Ernie K-Doe,153321,0.743,0.684,0.69,0.00234,0.296,-6.906,0.0442,0.74,127.421,2
West Coast,Lana Del Rey,256760,0.543,0.58,0.187,0.0325,0.0921,-7.643,0.0381,0.515,123.16,4
How Can A Poor Man Stand Such Times And Live - Remastered 2003,"Alfred ""Blind"" Reed",194320,0.638,0.321,0.995,4.59e-05,0.264,-11.429,0.0596,0.572,96.081,0
Just,Radiohead,234800,0.291,0.767,0.000401,0.0119,0.0763,-6.913,0.0862,0.358,175.699,4
Hanging On The Telephone - Remastered,Blondie,142293,0.503,0.824,0.00191,6.54e-05,0.219,-5.771,0.0757,0.581,152.396,4
Made of Stone - Remastered,The Stone Roses,254640,0.264,0.966,0.094,0.175,0.332,-5.009,0.0832,0.427,131.603,4
Walking The Floor Over You,Ernest Tubb,151546,0.872,0.386,0.907,0.0,0.0997,-9.359,0.0567,0.929,118.719,2
The Man I Love,Billie Holiday,184373,0.504,0.108,0.992,0.00109,0.331,-15.865,0.0375,0.346,87.62,0
Tubthumping,Chumbawamba,278960,0.263,0.871,0.106,0.0,0.363,-7.496,0.131,0.622,206.68,4
Year of the Cat,Al Stewart,400066,0.54,0.634,0.016,0.0098,0.118,-9.165,0.0346,0.546,116.461,4
On the Regular,Shamir,178306,0.737,0.929,0.366,0.000211,0.061,-3.427,0.0596,0.885,123.999,2
The Court Of The Crimson King,King Crimson,602530,0.339,0.346,0.0834,0.194,0.214,-12.083,0.0445,0.07,135.762,5
Boyfriend,Best Coast,149813,0.248,0.874,0.106,0.0887,0.134,-3.85,0.0528,0.552,114.877,4
Stay,Lisa Loeb & Nine Stories,183716,0.677,0.592,0.454,0.0,0.107,-6.887,0.0452,0.336,80.316,2
Girl/Boy Song,Aphex Twin,292826,0.53,0.64,0.425,0.915,0.0878,-9.149,0.103,0.481,168.936,3
"Non, je ne regrette rien - 2012 Remastered",Édith Piaf,143653,0.371,0.4,0.848,0.0,0.186,-5.198,0.0295,0.355,86.989,0
At Home He's a Tourist,Gang Of Four,210866,0.65,0.518,0.00721,0.13,0.0969,-9.069,0.301,0.603,138.822,6
LMK,Kelela,218319,0.595,0.61,0.091,0.0,0.16,-7.007,0.033,0.504,99.529,2
I Wanna Be Your Joey Ramone,Sleater-Kinney,156986,0.392,0.93,0.0417,0.573,0.133,-3.643,0.0606,0.6,137.678,3
Fade To Grey,Visage,230960,0.604,0.477,0.000135,0.0512,0.0429,-16.764,0.0367,0.51,112.815,0
Let the Good Times Roll,Louis Jordan,169480,0.605,0.347,0.967,0.000126,0.365,-7.241,0.128,0.706,155.342,0
Mercy,Duffy,219920,0.793,0.859,0.266,0.000356,0.133,-3.774,0.0332,0.964,129.912,2
Drain You,Nirvana,223880,0.325,0.929,0.000129,2.22e-06,0.184,-5.625,0.0695,0.198,133.358,4
Final Solution,Pere Ubu,301000,0.397,0.51,0.0155,0.324,0.106,-12.584,0.0369,0.522,120.099,4
Sherry - 2007 Remaster,Frankie Valli & The Four Seasons,157746,0.655,0.64,0.613,0.0,0.252,-3.866,0.0439,0.806,117.288,2
Violet,Hole,204426,0.328,0.768,0.0562,2.49e-05,0.146,-7.52,0.052,0.359,111.076,4
Watermelon Man,Mongo Santamaria,146400,0.856,0.472,0.529,0.507,0.0662,-14.427,0.0366,0.937,120.986,2
Show Me The Way,Peter Frampton,243266,0.7,0.726,0.434,1.1e-06,0.0963,-7.717,0.0329,0.641,130.109,2
Riot In Cell Block No. 9,The Robins,183040,0.539,0.469,0.373,4.12e-06,0.375,-12.312,0.333,0.565,133.416,6
Monkey Wrench,Foo Fighters,231160,0.405,0.962,2.99e-05,5.11e-05,0.124,-4.81,0.0766,0.703,174.098,4
Black Betty,Ram Jam,235520,0.485,0.731,0.00109,0.00108,0.162,-8.789,0.0925,0.831,117.022,2
Sexy Sadie - Remastered,The Beatles,195266,0.577,0.624,0.33,0.00622,0.117,-9.626,0.0285,0.671,75.478,2
All The Small Things,blink-182,168000,0.442,0.893,0.00844,0.0,0.529,-4.878,0.0505,0.712,148.119,1
Us And Them - 2011 Remastered Version,Pink Floyd,469224,0.356,0.302,0.863,0.546,0.634,-14.528,0.0346,0.126,72.623,0
Manchild,Neneh Cherry,232333,0.695,0.601,0.174,0.0,0.11,-12.003,0.155,0.866,169.516,2
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,310720,0.587,0.698,0.0152,0.0,0.442,-8.948,0.0943,0.0985,133.954,1
Self Esteem,The Offspring,257826,0.488,0.862,0.0204,0.0,0.359,-7.595,0.0476,0.706,104.56,1
Whole Wide World,Wreckless Eric,172733,0.752,0.54,0.561,0.000155,0.0919,-8.986,0.0768,0.882,114.217,2
Still D.R.E.,Dr. Dre,270586,0.816,0.775,0.16,0.00031,0.0543,-3.323,0.234,0.527,93.431,6
Never Can Say Goodbye - Remastered,Gloria Gaynor,255000,0.677,0.668,0.00203,0.00324,0.0986,-15.424,0.0293,0.947,125.918,2
Dirty Blvd.,Lou Reed,209266,0.711,0.412,0.308,0.00126,0.0882,-13.873,0.0659,0.849,123.35,2
Got 'Til It's Gone,Janet Jackson,241760,0.789,0.412,0.0218,0.000312,0.3,-7.518,0.243,0.518,89.914,6
Heavy Cross,Gossip,242773,0.793,0.688,0.079,0.0604,0.145,-4.216,0.0328,0.221,120.058,4
I Try,Macy Gray,239440,0.593,0.642,0.313,0.000582,0.0804,-7.284,0.0299,0.736,76.403,2
Aquarius/Let The Sunshine In (The Flesh Failures) - From the Musical Hair,The 5th Dimension,289293,0.293,0.74,0.445,0.00152,0.0998,-6.098,0.0399,0.514,118.225,4
Everywhere,Fleetwood Mac,222733,0.69,0.54,0.218,0.00657,0.115,-10.516,0.0317,0.764,114.846,2
Promiscuous,Nelly Furtado,242293,0.808,0.97,0.0569,6.13e-05,0.154,-6.098,0.0506,0.868,114.328,2
Take Me To Church,Hozier,241688,0.566,0.664,0.634,0.0,0.116,-5.303,0.0464,0.437,128.945,4
Don't Make Me Over,Dionne Warwick,165053,0.366,0.332,0.431,8.34e-05,0.764,-12.225,0.0407,0.458,173.856,1
Girl - Remastered,The Beatles,151720,0.699,0.294,0.587,0.0,0.117,-13.205,0.0294,0.893,96.615,0
Paper Doll - Single Version,The Mills Brothers,157600,0.603,0.0888,0.973,3.54e-06,0.169,-16.009,0.0801,0.425,163.848,0
I Am Woman,Helen Reddy,205880,0.392,0.681,0.408,2.31e-05,0.375,-8.723,0.0367,0.711,171.162,4
"You Don't Love Me (No, No, No)",Dawn Penn,195653,0.696,0.704,0.0239,0.0026,0.344,-4.261,0.0657,0.797,80.884,2
Your Love (feat. Jamie Principle),Frankie Knuckles,407453,0.698,0.871,0.0213,0.844,0.0751,-7.923,0.0423,0.179,117.562,3
Harlem Shuffle,Bob & Earl,168826,0.689,0.67,0.507,0.0041,0.121,-9.389,0.039,0.75,116.579,2
Do You,Spoon,212653,0.671,0.934,0.0796,0.000333,0.211,-2.169,0.0271,0.932,128.12,2
Human Nature,Michael Jackson,245560,0.624,0.512,0.541,0.00478,0.26,-10.041,0.0297,0.685,93.059,2
Do They Know It's Christmas? - 1984 Version,Band Aid,222533,0.599,0.642,0.164,3.33e-05,0.0992,-6.936,0.0363,0.349,115.412,4
"Do Right Woman, Do Right Man",Aretha Franklin,196640,0.668,0.284,0.706,0.0,0.131,-10.192,0.0413,0.491,134.911,0
"Hey, Ma",Bon Iver,216706,0.411,0.285,0.872,0.000354,0.0993,-10.97,0.0306,0.213,72.139,0
4'33'',John Cage,273066,0.173,2.03e-05,0.0,0.971,0.102,-60.0,0.409,0.975,54.211,0
Black Magic Woman,Fleetwood Mac,166373,0.549,0.389,0.0774,0.00172,0.127,-13.314,0.049,0.398,129.431,0
What Have I Done to Deserve This? (with Dusty Springfield) - 2001 Remaster,Pet Shop Boys,260413,0.711,0.875,0.129,0.00126,0.159,-5.24,0.0336,0.925,118.022,2
Thinking of a Place,The War On Drugs,670666,0.481,0.632,0.385,0.0817,0.116,-7.117,0.0333,0.156,103.323,5
I Am Still in Love,Alton Ellis,272666,0.75,0.352,0.127,0.000123,0.07,-15.154,0.0408,0.763,83.486,2
Diana,Paul Anka,138360,0.57,0.408,0.341,0.0,0.549,-9.932,0.0295,0.96,143.249,1
Drinking in L.A.,Bran Van 3000,236066,0.568,0.707,0.0608,0.0,0.0673,-5.672,0.0582,0.663,171.968,4
Rock The Bells,LL Cool J,240933,0.892,0.514,0.00503,0.453,0.139,-12.829,0.12,0.295,98.461,3
As time goes by - Complete vocal by Dooley Wilson,Max Steiner,164600,0.361,0.223,0.968,3.61e-06,0.146,-15.35,0.036,0.338,80.224,0
Woodstock,Joni Mitchell,326933,0.334,0.0935,0.985,0.0215,0.0994,-15.242,0.0354,0.21,107.863,0
Black Steel In The Hour Of Chaos,Public Enemy,383533,0.805,0.799,0.211,0.0,0.319,-11.829,0.192,0.827,90.879,6
Reconsider Baby - Single Version,Lowell Fulson,190986,0.647,0.709,0.737,0.000747,0.0725,-5.532,0.0564,0.7,95.066,2
No Particular Place To Go - Single Version,Chuck Berry,162173,0.576,0.795,0.331,0.000481,0.089,-7.566,0.0456,0.975,129.092,2
The Ghost of Tom Joad,Bruce Springsteen,263466,0.445,0.0975,0.43,0.284,0.142,-16.906,0.0357,0.0771,88.495,0
Best of You,Foo Fighters,254973,0.377,0.942,0.00092,8.88e-05,0.126,-4.543,0.07,0.348,129.955,4
I Feel the Earth Move,Carole King,178160,0.711,0.587,0.643,0.00737,0.0708,-8.832,0.0303,0.669,119.984,2
You Wear It Well,Rod Stewart,262960,0.541,0.569,0.464,9.21e-06,0.285,-10.042,0.0316,0.886,127.311,2
Straight to Hell - Remastered,The Clash,330506,0.802,0.596,0.0465,1.17e-05,0.0695,-11.663,0.06,0.702,90.275,2
"Please, Please, Please, Let Me Get What I Want - 2008 Remaster",The Smiths,112280,0.417,0.442,0.589,0.0,0.175,-9.6,0.0271,0.524,62.631,0
Are You Gonna Be My Girl,Jet,213800,0.613,0.953,0.00148,0.000582,0.152,-3.435,0.0855,0.537,105.046,4
Pop Muzik,M,296266,0.941,0.789,0.0854,0.000123,0.196,-8.665,0.0349,0.97,110.806,2
Good Morning Little School Girl,Sonny Boy Williamson II,181920,0.627,0.358,0.93,0.000428,0.0568,-6.413,0.0656,0.788,91.931,0
Stinkfist,TOOL,312120,0.286,0.728,0.000174,0.836,0.133,-6.608,0.0616,0.467,171.441,3
Cloud Nine,The Temptations,214386,0.761,0.689,0.321,0.0,0.119,-8.297,0.0568,0.803,118.689,2
Ironic,Alanis Morissette,225933,0.495,0.595,0.246,0.0,0.236,-7.57,0.0443,0.392,85.341,4
That's Amore - Remastered,Dean Martin,188826,0.423,0.193,0.646,0.0,0.0925,-11.018,0.0344,0.432,129.685,0
