song,artist,duration,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,valence,tempo,cluster
Bentley's Gonna Sort You Out,Bentley Rhythm Ace,307400,0.7,0.935,0.0456,0.831,0.347,-8.774,0.0408,0.811,103.984,3
Slip Away,Clarence Carter,153680,0.784,0.433,0.299,0.00016,0.0248,-9.1,0.0376,0.917,113.491,2
Epitaph,King Crimson,526822,0.286,0.319,0.00711,0.00897,0.0855,-12.932,0.032,0.103,129.896,5
Shadowboxer,Fiona Apple,324266,0.298,0.52,0.265,0.0,0.165,-7.297,0.0303,0.223,74.131,4
One Kiss (with Dua Lipa),Calvin Harris,214846,0.791,0.862,0.037,2.19e-05,0.0814,-3.24,0.11,0.592,123.994,2
The Great Beyond,R.E.M.,305106,0.332,0.749,0.118,2.08e-06,0.23,-6.399,0.0299,0.182,109.911,4
Angel,Madonna,236133,0.754,0.618,0.298,0.000207,0.345,-13.66,0.0357,0.836,133.237,2
The Fool,Sanford Clark,166000,0.616,0.539,0.139,0.196,0.096,-9.339,0.0283,0.831,75.486,2
Closer To The Heart,Rush,171960,0.379,0.812,0.111,3.18e-06,0.661,-9.19,0.0734,0.542,145.071,1
My People,The Presets,268173,0.56,0.921,0.0123,1.08e-05,0.404,-2.462,0.0374,0.283,126.974,4
Special,Garbage,223773,0.476,0.912,6.97e-05,0.0193,0.272,-5.665,0.0373,0.465,131.848,4
Ten Cents a Dance,Ruth Etting,195466,0.601,0.076,0.968,8.73e-06,0.0748,-14.717,0.0455,0.399,102.407,0
Sometimes - Remastered Version,my bloody valentine,319133,0.352,0.61,1.18e-05,0.883,0.0934,-14.682,0.051,0.078,128.483,3
Sweetest Smile - Extended Version,Black,319960,0.63,0.217,0.836,0.00398,0.107,-15.778,0.027,0.195,95.21,0
Walking Down Madison,Kirsty MacColl,395746,0.632,0.908,0.0144,7.05e-05,0.0329,-6.212,0.0378,0.76,105.188,2
Alfie,Cher,171226,0.37,0.221,0.838,0.0,0.081,-12.566,0.0423,0.206,75.905,0
(Nothing But) Flowers,Talking Heads,333000,0.603,0.848,0.0628,0.000133,0.211,-5.364,0.0423,0.897,120.764,2
Faron Young - 2007 Remastered Version,Prefab Sprout,223040,0.621,0.938,0.00116,0.0269,0.105,-7.237,0.0378,0.833,120.638,2
Slight Return,The Bluetones,201160,0.429,0.891,0.0216,5.62e-05,0.172,-7.669,0.0378,0.646,102.807,4
Boris The Spider - Mono Version,The Who,151822,0.553,0.56,0.468,0.0555,0.105,-8.133,0.0282,0.475,98.491,2
Donna Lee,Jaco Pastorius,147200,0.594,0.243,0.971,0.966,0.111,-28.508,0.0579,0.756,108.439,0
Cherish,Madonna,303493,0.703,0.685,0.323,0.000567,0.0537,-11.581,0.033,0.963,131.842,2
Help Me Lose My Mind,Disclosure,244174,0.777,0.713,0.0383,0.102,0.0564,-5.676,0.0557,0.331,109.032,2
Creole Love Call,Duke Ellington,191533,0.567,0.217,0.981,0.627,0.129,-10.442,0.0398,0.357,96.21,0
Water Curses,Animal Collective,207493,0.524,0.899,0.166,2.18e-05,0.118,-5.099,0.115,0.508,112.891,4
The Golden Age of Rock 'n' Roll,Mott The Hoople,204093,0.516,0.842,0.0304,0.0,0.0722,-8.062,0.0366,0.718,138.245,4
Exit Music,Brad Mehldau,263933,0.283,0.174,0.921,0.676,0.0582,-21.064,0.0331,0.117,154.72,0
Mars,Fake Blood,261009,0.849,0.838,0.00143,0.798,0.0865,-4.646,0.165,0.88,126.042,3
She Sends Kisses,The Wrens,357346,0.262,0.608,0.0867,0.000492,0.0919,-6.591,0.0285,0.161,140.086,4
Wilmot,The Sabres Of Paradise,452800,0.65,0.667,0.0032,0.741,0.335,-9.609,0.0406,0.709,169.972,3
Free As A Bird - Anthology 1 Version,The Beatles,265293,0.475,0.499,0.0712,0.0231,0.159,-8.914,0.0265,0.457,72.388,4
Hold Your Head Up,Argent,375533,0.466,0.489,0.164,0.0605,0.553,-13.762,0.0282,0.529,89.198,1
Baby Wants to Ride,Frankie Knuckles,514573,0.773,0.758,0.00722,0.305,0.37,-9.074,0.0972,0.732,132.571,2
"Karn Evil 9 1st Impression, Pt. I","Emerson, Lake & Palmer",517266,0.424,0.605,0.303,0.245,0.128,-10.515,0.041,0.726,122.978,4
Here I Dreamt I Was an Architect,The Decemberists,269146,0.411,0.754,0.101,2.83e-06,0.141,-6.515,0.0294,0.602,189.9,4
Chacun fait (c'qui lui plaît) - Version originale 1981,Chagrin D'amour,250960,0.841,0.707,0.194,0.0,0.0864,-7.936,0.0902,0.84,113.497,2
Avenue,Saint Etienne,454693,0.529,0.721,0.0194,0.00339,0.162,-10.16,0.0319,0.464,90.898,4
Small Axe,Bob Marley & The Wailers,234333,0.821,0.534,0.784,0.0,0.343,-7.456,0.186,0.859,98.563,6
"Say You, Say Me",Lionel Richie,241066,0.636,0.405,0.355,0.0,0.081,-11.113,0.0287,0.257,128.068,0
Montague Terrace (In Blue),Scott Walker,207293,0.423,0.149,0.502,1.26e-06,0.0492,-19.827,0.0338,0.299,138.387,0
Beechwood 4-5789,The Marvelettes,131735,0.626,0.741,0.57,0.0,0.315,-4.814,0.0308,0.974,138.611,2
"Take My Hand, Precious Lord (with Marion Williams)",Thomas A. Dorsey,450760,0.299,0.217,0.863,0.000543,0.11,-16.012,0.064,0.17,179.863,0
"Baby, You're A Rich Man - Remastered",The Beatles,181306,0.619,0.625,0.0119,1.05e-06,0.152,-9.635,0.036,0.467,96.751,2
Home Again,Shihad,214653,0.528,0.955,0.000741,0.761,0.226,-5.162,0.0868,0.396,120.122,3
Not Given Lightly,Chris Knox,306440,0.729,0.367,0.171,0.0,0.441,-14.276,0.121,0.626,105.986,1
Nosetalgia,Pusha T,216053,0.574,0.795,0.0257,0.0,0.132,-3.919,0.318,0.723,80.975,6
