names,uri,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
Stay The Night - Featuring Hayley Williams Of Paramore,spotify:track:4bT2zLVv2T4GiK9q9KtI0v,"['Zedd', 'Hayley Williams']",63,0.596,0.738,8,-3.109,1,0.0411,0.109,0.0,0.0947,0.461,127.961,217347,4,6
Fire Fly,spotify:track:1Mx97utPpQdM4shyKXLfDp,['Childish Gambino'],0,0.672,0.889,11,-3.902,0,0.224,0.167,0.0,0.314,0.479,87.47,203547,4,5
It's Alright - The Guvnor Mix,spotify:track:3PMlBjVjaNHytufQltTaZr,['East 17'],0,0.612,0.934,5,-4.767,0,0.0417,0.0197,0.0,0.12,0.391,129.941,280961,4,5
My Generation - Original Mono Version,spotify:track:6UdCTwbVAvNqbWyZKZiRWL,['The Who'],0,0.332,0.822,0,-6.558,0,0.0988,0.165,9.33e-05,0.161,0.745,96.253,197320,4,5
Bilder im Kopf,spotify:track:3AzVdNe7tCYbjjRzQyVLbN,['Sido'],61,0.7,0.829,0,-5.418,1,0.202,0.0823,0.0,0.323,0.892,90.048,238560,4,1
Fiesta - Michael Mind Project Video Edit,spotify:track:2JQkq0krSQHMIiLURIum2j,"['Carlprit', 'Michael Mind Project']",37,0.544,0.923,6,-5.594,1,0.219,0.0159,0.0,0.336,0.779,128.326,191007,4,2
Reload - Vocal Version / Radio Edit,spotify:track:2sBWCCylFvS2wEIaW4NTv8,"['Sebastian Ingrosso', 'Tommy Trash', 'John Martin']",0,0.487,0.737,4,-4.629,0,0.0513,0.0762,1.12e-06,0.0602,0.404,128.054,221280,4,5
Turn All the Lights On (feat. Ne-Yo),spotify:track:5Ue25r0VGvZR7vaw3iB0gZ,"['T-Pain', 'Ne-Yo']",2,0.697,0.807,6,-3.049,0,0.0587,0.0382,0.0,0.471,0.732,127.01,216440,4,5
Everybody - Radio Edit,spotify:track:0BOKPwDkzLW9cmdgPhaXiF,"['Mike Candys', 'Evelyn', 'Tony T']",30,0.76,0.837,5,-2.782,0,0.118,0.11,1.59e-05,0.0615,0.701,127.967,179789,4,5
Lila Wolken,spotify:track:3CT1nhEnqol4rHIdwD7Rr7,"['Marteria', 'Yasha', 'Miss Platnum']",1,0.543,0.676,1,-6.431,1,0.053,0.185,0.0,0.301,0.166,143.887,228053,4,7
Summer Jam,spotify:track:0pJV5fExkPQosiiDp4OvUj,"['R.I.O.', 'U-Jean']",61,0.747,0.716,1,-5.152,0,0.0308,0.0828,7.59e-06,0.0773,0.849,128.001,182657,4,5
This Is Nightlife - Video Edit,spotify:track:0IpiiTfaDSiqpYg9MlBxw4,['ItaloBrothers'],0,0.642,0.784,11,-5.286,0,0.032,0.0271,3.03e-05,0.308,0.877,128.004,162000,4,5
All The Time (feat. Rameez) [Radio Version],spotify:track:6XcUVZGPkR1rPMkXQz5bBk,"['DJane HouseKat', 'Rameez']",0,0.762,0.737,9,-3.904,1,0.167,0.038,0.0,0.063,0.76,130.016,171874,4,6
Single Ladies - Remady 2K13 Radio Edit,spotify:track:6DCFfWMAUH6hfQiGQ44OPe,"['Remady', 'Manu-L', 'J-Son']",33,0.704,0.811,4,-3.011,0,0.0438,0.00743,0.0,0.27,0.795,128.002,221387,4,5
Schönste Zeit,spotify:track:2toXFMUY2drm8KRillUHpA,['Bosse'],0,0.673,0.831,8,-5.178,1,0.0347,0.123,0.0,0.209,0.534,121.0,232320,4,6
Bangarang (feat. Sirah),spotify:track:6VRhkROS2SZHGlp0pxndbJ,"['Skrillex', 'Sirah']",70,0.716,0.972,7,-2.302,1,0.196,0.0145,3.22e-05,0.317,0.576,110.026,215253,4,6
Sky Is the Limit,spotify:track:22W1OZtniQZgKQa3wnqZje,"['DJ Antoine', 'Mad Mark']",47,0.692,0.712,9,-5.716,0,0.0483,0.0251,0.0,0.0716,0.503,127.981,277799,4,5
Strand,spotify:track:6npdnHdsDdRs9wZPMV8kaB,['Yasha'],0,0.653,0.545,6,-8.274,1,0.0475,0.0846,0.000265,0.155,0.465,128.968,211027,4,6
Clarity,spotify:track:0VGrgE7GbWaINRnh1bR4k9,"['Zedd', 'Foxes']",0,0.523,0.78,8,-3.378,1,0.0748,0.0376,0.0,0.0751,0.187,128.003,271427,4,7
C'Mon,spotify:track:4lAdOkj9Pj1952EYIKZmxg,['Kesha'],0,0.558,0.781,1,-5.448,0,0.0963,0.00657,0.00144,0.102,0.286,126.025,214333,4,5
Million Voices,spotify:track:3H2Fi9vc0vY61drCvFBa23,['Otto Knows'],37,0.597,0.719,3,-7.272,1,0.0601,0.00504,0.153,0.0677,0.254,125.972,355545,4,1
Ma chérie - DJ Antoine vs Mad Mark 2k12 Radio Edit,spotify:track:0bLFr9Lg9cKIMQV9hvHg8m,"['DJ Antoine', 'The Beat Shakers']",0,0.777,0.587,5,-5.023,0,0.183,0.0316,7.12e-05,0.0416,0.857,127.966,191080,4,5
One Life (feat. Kelly Rowland) - Radio Edit,spotify:track:2GL7gMtjLgbttGGCrUqeTd,"['Madcon', 'Kelly Rowland']",27,0.472,0.879,1,-1.723,0,0.0505,0.0698,0.0,0.259,0.403,90.074,210320,4,5
