danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.495,0.373,7,-12.132,1,0.0262,0.821,6.75e-05,0.0769,0.486,89.834,167657,4
0.575,0.692,8,-6.624,0,0.0571,0.0322,9.16e-06,0.112,0.277,125.191,283267,4
0.636,0.559,8,-10.313,1,0.0249,0.0562,0.000754,0.0562,0.512,101.4,228867,4
0.718,0.934,4,-3.153,1,0.0379,0.00149,0.000131,0.324,0.239,119.989,198021,4
0.321,0.955,10,-2.749,0,0.146,0.00464,0.00897,0.269,0.331,167.467,189480,4
0.781,0.648,5,-8.216,1,0.0264,0.00761,0.0,0.132,0.546,121.93,224773,4
0.606,0.942,2,-3.618,1,0.0357,0.000233,7.07e-06,0.106,0.373,110.98,270387,4
0.679,0.902,0,-8.395,1,0.119,0.015,0.00534,0.052,0.627,107.043,165400,4
0.485,0.473,3,-9.545,1,0.0312,0.5,0.948,0.127,0.115,114.341,231682,4
0.732,0.745,0,-8.111,1,0.0772,0.0218,4.35e-05,0.666,0.806,130.478,214520,4
0.668,0.533,5,-11.124,0,0.0406,0.0142,1.07e-06,0.412,0.87,131.939,230547,4
0.657,0.487,5,-12.23,0,0.0304,0.0121,0.432,0.482,0.152,121.111,310400,4
0.769,0.891,11,-7.56,1,0.0463,0.106,0.078,0.157,0.929,132.088,301587,4
0.746,0.345,1,-10.963,1,0.0875,0.183,0.00367,0.121,0.598,160.036,326933,4
0.677,0.636,5,-12.043,0,0.403,0.00725,0.000329,0.266,0.697,77.931,209013,4
0.796,0.575,0,-12.234,1,0.0841,0.096,0.00102,0.183,0.939,160.747,181400,4
0.727,0.93,0,-6.633,1,0.0821,0.00357,0.574,0.423,0.343,120.773,257253,4
0.746,0.928,8,-3.881,1,0.0433,0.0302,0.000244,0.104,0.827,125.508,319480,4
0.225,0.615,0,-10.514,1,0.067,0.00384,0.0,0.169,0.117,151.664,276093,4
0.738,0.846,9,-5.416,1,0.103,0.115,0.0,0.0946,0.398,127.975,166963,4
0.5,0.738,10,-5.949,0,0.0865,0.0167,0.0,0.108,0.773,75.135,179961,4
0.711,0.752,6,-5.745,0,0.071,0.00615,7.24e-06,0.0564,0.619,127.947,210000,4
0.609,0.743,0,-4.865,1,0.0586,0.119,1.36e-06,0.146,0.605,127.979,174667,4
0.513,0.661,3,-6.8,1,0.0439,0.0274,0.0,0.118,0.461,180.118,228347,4
0.481,0.699,1,-4.391,1,0.0284,0.0872,0.0,0.711,0.353,140.029,248347,4
0.394,0.944,2,-8.082,1,0.181,0.0906,0.0,0.473,0.616,207.686,234133,4
0.351,0.928,1,-3.71,1,0.0759,0.00113,0.0,0.0988,0.239,148.03,222076,4
0.71,0.882,4,-2.932,0,0.0595,0.00777,0.00771,0.294,0.875,128.016,232800,4
0.725,0.776,10,-5.302,0,0.0621,0.156,1e-06,0.298,0.589,128.041,200526,4
0.757,0.689,10,-4.664,1,0.0392,0.00383,1.94e-05,0.0851,0.742,122.017,200387,4
